traffic_type,packet_count,total_bytes,avg_packet_length,min_packet_length,max_packet_length,duration,packets_per_second,bytes_per_second,tcp_count,udp_count,icmp_count,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,unique_src_ports,unique_dst_ports,unique_src_ips,unique_dst_ips,port_20_count,port_21_count,port_22_count,port_80_count,port_443_count,top_dst_port,avg_bytes_per_pkt,rst_syn_ratio,rst_per_second,unique_src_ports_log,port_entropy,port22_rst_product,port22_src_diversity,label
normal_ping,2,196,98.0,98,98,8.487701416015625e-05,23563.505617977527,2309223.550561798,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00016307830810546875,12264.04678362573,1201876.5847953216,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.989738464355469e-05,20020.54415274463,1962013.3269689737,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.799003601074219e-05,20410.238442822385,2000203.3673965936,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011205673217773438,17848.102127659575,1749114.0085106383,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,8.606910705566406e-05,23237.141274238227,2277239.8448753464,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001068115234375,18724.571428571428,1835008.0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011587142944335938,17260.510288065845,1691530.0082304527,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010895729064941406,18355.816192560174,1798869.9868708972,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010013580322265625,19972.876190476192,1957341.8666666667,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00017499923706054688,11428.621253405994,1120004.8828337875,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,8.487701416015625e-05,23563.505617977527,2309223.550561798,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001659393310546875,12052.597701149425,1181154.5747126436,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00010800361633300781,18517.898454746137,1814754.0485651214,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001010894775390625,19784.45283018868,1938876.3773584906,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.000102996826171875,19418.074074074073,1902971.2592592593,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001049041748046875,19065.01818181818,1868371.7818181817,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.393692016601562e-05,21290.883248730963,2086506.5583756345,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.703636169433594e-05,20610.830466830466,2019861.3857493857,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00014901161193847656,13421.7728,1315333.7344,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,3,283,94.33333333333333,87,98,0.9328391551971436,3.215988504862865,303.37491562539697,0,1,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,5353,70.75,0.0,0.0,0.6931471805599453,0.25,0,0,0
normal_ping,2,196,98.0,98,98,0.00011086463928222656,18040.017204301075,1767921.6860215054,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011992454528808594,16677.153081510933,1634361.0019880715,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00012302398681640625,16256.992248062015,1593185.2403100776,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011610984802246094,17225.067761806982,1688056.6406570843,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0001239776611328125,16131.938461538462,1580929.9692307692,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.703636169433594e-05,20610.830466830466,2019861.3857493857,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00016689300537109375,11983.725714285714,1174405.12,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.00011515617370605469,17367.718426501036,1702036.4057971016,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,8.797645568847656e-05,22733.355013550135,2227868.7913279133,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,0.0003521442413330078,5679.490859851049,556590.1042654029,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.894371032714844e-05,20213.51325301205,1980924.2987951806,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
normal_ping,2,196,98.0,98,98,9.918212890625e-05,20164.923076923078,1976162.4615384615,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,65.33333333333333,0.0,0.0,0.0,0.0,0,0,0
